+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                  0 |  5 |       NEW |     READY |
|                  0 |  5 |     READY |   RUNNING |
|                  1 |  0 |       NEW |     READY |
|                 11 |  5 |   RUNNING |   WAITING |
|                 11 |  0 |     READY |   RUNNING |
|                 15 |  3 |       NEW |     READY |
|                 19 |  5 |   WAITING |     READY |
|                 26 |  0 |   RUNNING |   WAITING |
|                 26 |  3 |     READY |   RUNNING |
|                 29 |  2 |       NEW |     READY |
|                 29 |  0 |   WAITING |     READY |
|                 36 |  7 |       NEW |     READY |
|                 39 |  3 |   RUNNING |   WAITING |
|                 39 |  0 |     READY |   RUNNING |
|                 42 |  3 |   WAITING |     READY |
|                 51 |  0 |   RUNNING | TERMINATED |
|                 51 |  2 |     READY |   RUNNING |
|                 52 |  6 |       NEW |     READY |
|                 63 |  2 |   RUNNING |   WAITING |
|                 63 |  3 |     READY |   RUNNING |
|                 70 |  2 |   WAITING |     READY |
|                 76 |  3 |   RUNNING |   WAITING |
|                 76 |  2 |     READY |   RUNNING |
|                 79 |  3 |   WAITING |     READY |
|                 88 |  2 |   RUNNING |   WAITING |
|                 88 |  3 |     READY |   RUNNING |
|                 95 |  2 |   WAITING |     READY |
|                 97 |  3 |   RUNNING | TERMINATED |
|                 97 |  2 |     READY |   RUNNING |
|                 98 |  4 |       NEW |     READY |
|                104 |  2 |   RUNNING | TERMINATED |
|                104 |  4 |     READY |   RUNNING |
|                105 |  4 |   RUNNING | TERMINATED |
|                105 |  5 |     READY |   RUNNING |
|                116 |  5 |   RUNNING |   WAITING |
|                116 |  6 |     READY |   RUNNING |
|                124 |  5 |   WAITING |     READY |
|                134 |  6 |   RUNNING |   WAITING |
|                134 |  5 |     READY |   RUNNING |
|                138 |  5 |   RUNNING | TERMINATED |
|                138 |  7 |     READY |   RUNNING |
|                141 |  7 |   RUNNING |   WAITING |
|                143 |  7 |   WAITING |     READY |
|                143 |  7 |     READY |   RUNNING |
|                146 |  6 |   WAITING |     READY |
|                146 |  7 |   RUNNING |   WAITING |
|                146 |  6 |     READY |   RUNNING |
|                148 |  7 |   WAITING |     READY |
|                154 |  6 |   RUNNING | TERMINATED |
|                154 |  7 |     READY |   RUNNING |
|                155 |  1 |       NEW |     READY |
|                157 |  7 |   RUNNING |   WAITING |
|                157 |  1 |     READY |   RUNNING |
|                159 |  7 |   WAITING |     READY |
|                160 |  1 |   RUNNING |   WAITING |
|                160 |  7 |     READY |   RUNNING |
|                162 |  1 |   WAITING |     READY |
|                163 |  7 |   RUNNING |   WAITING |
|                163 |  1 |     READY |   RUNNING |
|                165 |  7 |   WAITING |     READY |
|                166 |  1 |   RUNNING |   WAITING |
|                166 |  7 |     READY |   RUNNING |
|                168 |  1 |   WAITING |     READY |
|                169 |  7 |   RUNNING |   WAITING |
|                169 |  1 |     READY |   RUNNING |
|                171 |  7 |   WAITING |     READY |
|                172 |  1 |   RUNNING |   WAITING |
|                172 |  7 |     READY |   RUNNING |
|                174 |  1 |   WAITING |     READY |
|                175 |  7 |   RUNNING |   WAITING |
|                175 |  1 |     READY |   RUNNING |
|                177 |  7 |   WAITING |     READY |
|                178 |  1 |   RUNNING |   WAITING |
|                178 |  7 |     READY |   RUNNING |
|                180 |  1 |   WAITING |     READY |
|                181 |  7 |   RUNNING |   WAITING |
|                181 |  1 |     READY |   RUNNING |
|                183 |  7 |   WAITING |     READY |
|                184 |  1 |   RUNNING |   WAITING |
|                184 |  7 |     READY |   RUNNING |
|                186 |  1 |   WAITING |     READY |
|                187 |  7 |   RUNNING |   WAITING |
|                187 |  1 |     READY |   RUNNING |
|                189 |  7 |   WAITING |     READY |
|                190 |  1 |   RUNNING |   WAITING |
|                190 |  7 |     READY |   RUNNING |
|                192 |  1 |   WAITING |     READY |
|                193 |  7 |   RUNNING |   WAITING |
|                193 |  1 |     READY |   RUNNING |
|                195 |  7 |   WAITING |     READY |
|                196 |  1 |   RUNNING |   WAITING |
|                196 |  7 |     READY |   RUNNING |
|                198 |  1 |   WAITING |     READY |
|                199 |  7 |   RUNNING |   WAITING |
|                199 |  1 |     READY |   RUNNING |
|                201 |  7 |   WAITING |     READY |
|                202 |  1 |   RUNNING |   WAITING |
|                202 |  7 |     READY |   RUNNING |
|                204 |  1 |   WAITING |     READY |
|                205 |  7 |   RUNNING |   WAITING |
|                205 |  1 |     READY |   RUNNING |
|                206 |  1 |   RUNNING | TERMINATED |
|                207 |  7 |   WAITING |     READY |
|                207 |  7 |     READY |   RUNNING |
|                210 |  7 |   RUNNING |   WAITING |
|                212 |  7 |   WAITING |     READY |
|                212 |  7 |     READY |   RUNNING |
|                215 |  7 |   RUNNING |   WAITING |
|                217 |  7 |   WAITING |     READY |
|                217 |  7 |     READY |   RUNNING |
|                218 |  7 |   RUNNING | TERMINATED |
+------------------------------------------------+
