+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used | Partitions State | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|             0 |           0 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
|             0 |          10 | -1,-1,-1,15,-1,-1 |                90 |                 90 | 
|             0 |           1 | -1,-1,-1,15,-1,12 |                89 |                 88 | 
|             0 |          10 | -1,-1,1,15,-1,12 |                79 |                 73 | 
|             5 |           1 |  -1,-1,1,15,2,12 |                78 |                 65 | 
|            14 |           7 |   -1,3,1,15,2,12 |                71 |                 40 | 
|            70 |          10 |   -1,3,1,-1,2,12 |                81 |                 50 | 
|           125 |           1 |  -1,3,1,-1,-1,12 |                82 |                 58 | 
|           170 |           1 |  -1,3,1,-1,-1,-1 |                83 |                 60 | 
|           210 |          10 | -1,3,-1,-1,-1,-1 |                93 |                 75 | 
|           211 |           7 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
+------------------------------------------------------------------------------------------+
